,endTime,artistName,trackName,minutedPlayed
235,2020-07-27 01:39:00,Obinrin Trio,Feito Fumaça,4.6839
236,2020-07-27 01:45:00,Chico Chico,Entre Prédios,6.156933333333333
237,2020-07-27 01:48:00,Paulo Novaes,Travo,2.7508833333333333
238,2020-07-27 01:51:00,Julio Secchin,Jovem - Acústico,3.334233333333333
239,2020-07-27 01:55:00,Gilsons,Love Love,3.4330666666666665
240,2020-07-27 01:58:00,Clara Valverde,samba do moço bonito,3.2848333333333333
241,2020-07-27 02:01:00,Teresa Cristina,Palpite Infeliz (Ao Vivo),2.8111166666666665
242,2020-07-27 02:04:00,Malía,Vem Cá - Ao Vivo,3.3710833333333334
243,2020-07-27 02:09:00,Mariana Froes,Moça,5.026133333333333
244,2020-07-27 02:13:00,Rodrigo Alarcon,Apesar de Querer,4.066666666666666
245,2020-07-27 02:17:00,Surya,Casa de Flores,3.627083333333333
246,2020-07-27 02:20:00,João Bernardo,Longe Daqui (é Perto de Outro Lugar),2.7072333333333334
247,2020-07-27 16:34:00,Bia Marques,Volta pra Casa,2.4951
248,2020-07-29 20:51:00,Selvagens à Procura de Lei,Despedida,4.44355
249,2020-07-29 20:55:00,Novos Baianos,Swing do Campo Grande - Ao Vivo,3.5151
250,2020-07-29 20:59:00,Caetano Veloso,Podres Poderes,4.3311
251,2020-07-29 21:03:00,Jorge Vercillo,Linda Flor,4.020833333333333
252,2020-07-29 21:07:00,Tim Maia,Que Beleza,3.4762166666666667
253,2020-07-29 21:10:00,Rebeca,O Tanto Que Falta (Acústico),2.6925333333333334
254,2020-07-29 21:14:00,Roberta Sá,Ela Diz Que Me Ama - DKVPZ Remix,4.3797
255,2020-07-29 21:19:00,Bruna Caram,Força Estranha - Ao vivo,4.766666666666667
256,2020-07-30 02:06:00,Caetano Veloso,Meia Lua Inteira,1.4590833333333333
257,2020-08-04 13:22:00,Beyoncé,BIGGER,3.772666666666667
258,2020-08-04 13:25:00,Beyoncé,FIND YOUR WAY BACK,2.7073
259,2020-08-04 13:28:00,Tekno,DON'T JEALOUS ME,2.6073666666666666
260,2020-08-04 13:31:00,Burna Boy,JA ARA E,3.1739
261,2020-08-04 13:33:00,Beyoncé,NILE,1.7910333333333333
262,2020-08-04 13:37:00,Beyoncé,MOOD 4 EVA (feat. Oumou Sangaré),4.541066666666667
263,2020-08-04 13:40:00,Salatiel,WATER,2.5532166666666667
264,2020-08-04 13:44:00,Blue Ivy,BROWN SKIN GIRL,4.135716666666666
265,2020-08-04 13:47:00,Tiwa Savage,KEYS TO THE KINGDOM,3.3178833333333335
266,2020-08-04 13:51:00,Beyoncé,ALREADY,3.7237
267,2020-08-04 13:55:00,Beyoncé,OTHERSIDE,3.670533333333333
268,2020-08-04 13:59:00,Nija,MY POWER,4.342666666666666
269,2020-08-04 14:02:00,070 Shake,SCAR,3.1222333333333334
270,2020-08-04 14:07:00,Beyoncé,"SPIRIT - From Disney's ""The Lion King""",4.6178333333333335
271,2020-08-04 14:12:00,Beyoncé,BLACK PARADE - Extended Version,5.279166666666667
272,2020-08-04 14:13:00,Beyoncé,FIND YOUR WAY BACK - MELO-X Remix,1.0610833333333334
273,2020-08-04 14:18:00,Tiago Iorc,Tangerina - Ao Vivo,4.6839
274,2020-08-04 14:22:00,Jorge Vercillo,Linda Flor,4.020833333333333
275,2020-08-04 14:25:00,Rodrigo Alarcon,Frágil Coração,3.6056
276,2020-08-04 14:30:00,Tiago Iorc,Você Pra Sempre Em Mim,4.685333333333333
277,2020-08-04 14:33:00,Gal Costa,Baby - Ao Vivo,3.1196333333333333
278,2020-08-04 14:36:00,Castello Branco,Toda Toda,2.8476833333333333
279,2020-08-04 14:40:00,Fernanda Takai,O Amor Em Tempos de Cólera,3.8097666666666665
280,2020-08-04 14:44:00,Tim Bernardes,Só Nós Dois,3.800133333333333
281,2020-08-04 14:50:00,Milton Nascimento,Não Existe Amor em SP,5.797283333333334
282,2020-08-04 14:53:00,Rubel,Você Me Pergunta,3.9156333333333335
283,2020-08-04 14:57:00,Gilberto Gil,Copo Vazio,3.2200333333333333
284,2020-08-04 14:58:00,Ana Gabriela,Amor Traduz,1.6909666666666667
285,2020-08-04 15:01:00,Illy,Me Deixas Louca,2.7980833333333335
286,2020-08-04 17:59:00,Fióti,Quando for falar de amor,0.3011
287,2020-08-05 01:31:00,Beirut,Elephant Gun,5.814883333333333
288,2020-08-05 01:33:00,Hindi Zahra,Beautiful Tango - Remastered,0.2082
289,2020-08-05 01:37:00,Kings of Convenience,Know How,3.96955
290,2020-08-05 01:40:00,Kings of Convenience,Me In You,3.1477666666666666
291,2020-08-05 01:43:00,Kings of Convenience,Rule My World,3.5277666666666665
